,Time [s],Current [A],Terminal voltage [V],Cell temperature [K],Negative SEI thickness [nm],Total lithium capacity [A.h]
0,0.0,0.0,2.8095066056655473,298.15,4.9999999999999964,5.411385199471411
1,1.0,0.0,2.809506605694469,298.1500000004398,5.000000035426728,5.4113851992870865
2,2.0,0.0,2.8095066054029405,298.150000000879,5.000000070853454,5.411385199102763
3,3.0,0.0,2.8095065976091043,298.15000000130584,5.000000106280169,5.411385198918438
4,4.0,0.0,2.8095065890604047,298.1500000017304,5.000000141706885,5.4113851987341155
5,5.0,0.0,2.8095065822283884,298.15000000214906,5.000000177133597,5.411385198549794
6,6.0,0.0,2.80950657607519,298.1500000025604,5.0000002125603045,5.411385198365463
7,7.0,0.0,2.809506570401158,298.1500000029663,5.000000247987007,5.411385198181139
8,8.0,0.0,2.809506565285562,298.1500000033632,5.00000028341371,5.411385197996815
9,9.0,0.0,2.8095065610858185,298.15000000374164,5.000000318840401,5.411385197812491
10,10.0,0.0,2.809506557586206,298.15000000410606,5.0000003542670886,5.411385197628159
11,11.0,0.0,2.8095065545533484,298.15000000446105,5.000000389693766,5.4113851974438365
12,12.0,0.0,2.8095065517538678,298.15000000481126,5.000000425120449,5.411385197259511
13,13.0,0.0,2.809506548954388,298.1500000051616,5.000000460547126,5.4113851970751865
14,14.0,0.0,2.8095065459215296,298.1500000055165,5.000000495973806,5.411385196890864
15,15.0,0.0,2.8095065425636037,298.15000000587577,5.00000053140049,5.411385196706542
16,16.0,0.0,2.809506539321112,298.1500000062217,5.000000566827164,5.411385196522212
17,17.0,0.0,2.8095065362321234,298.1500000065537,5.000000602253837,5.411385196337886
18,18.0,0.0,2.8095065332774527,298.15000000687377,5.0000006376804995,5.411385196153566
19,19.0,0.0,2.809506530437909,298.15000000718334,5.000000673107162,5.41138519596924
20,20.0,0.0,2.809506527694308,298.1500000074844,5.000000708533818,5.411385195784912
21,21.0,0.0,2.8095065250274587,298.15000000777843,5.000000743960469,5.411385195600589
22,22.0,0.0,2.8095065224181734,298.15000000806737,5.000000779387121,5.411385195416264
23,23.0,0.0,2.8095065198472646,298.15000000835283,5.000000814813771,5.411385195231942
24,24.0,0.0,2.8095065172955427,298.1500000086365,5.000000850240417,5.411385195047614
25,25.0,0.0,2.809506514743822,298.1500000089203,5.000000885667063,5.411385194863292
26,26.0,0.0,2.8095065121729146,298.1500000092057,5.000000921093714,5.411385194678968
27,27.0,0.0,2.809506509563628,298.15000000949465,5.000000956520366,5.411385194494642
28,28.0,0.0,2.8095065068967777,298.1500000097887,5.000000991947017,5.411385194310317
29,29.0,0.0,2.8095065041566816,298.15000001008934,5.000001027373673,5.4113851941259865
30,30.0,0.0,2.809506501443371,298.1500000103858,5.000001062800325,5.411385193941664
31,31.0,0.0,2.80950649880705,298.1500000106729,5.000001098226976,5.411385193757341
32,32.0,0.0,2.809506496243442,298.15000001095115,5.000001133653616,5.411385193573022
33,33.0,0.0,2.809506493748269,298.15000001122104,5.00000116908025,5.411385193388692
34,34.0,0.0,2.8095064913172534,298.15000001148314,5.000001204506885,5.4113851932043735
35,35.0,0.0,2.80950648894612,298.150000011738,5.000001239933511,5.411385193020046
36,36.0,0.0,2.809506486630589,298.15000001198604,5.000001275360138,5.411385192835717
37,37.0,0.0,2.809506484366386,298.1500000122277,5.0000013107867565,5.411385192651396
38,38.0,0.0,2.80950648214923,298.15000001246375,5.0000013462133746,5.411385192467066
39,39.0,0.0,2.8095064799748477,298.15000001269453,5.000001381639987,5.411385192282747
40,40.0,0.0,2.80950647783896,298.15000001292066,5.000001417066597,5.411385192098421
41,41.0,0.0,2.80950647573729,298.15000001314263,5.000001452493205,5.411385191914095
42,42.0,0.0,2.80950647366556,298.15000001336097,5.000001487919813,5.411385191729772
43,43.0,0.0,2.8095064716194926,298.1500000135761,5.000001523346415,5.411385191545449
44,44.0,0.0,2.809506469594812,298.15000001378877,5.000001558773021,5.4113851913611235
45,45.0,0.0,2.8095064675872403,298.15000001399926,5.000001594199623,5.411385191176796
46,46.0,0.0,2.809506465592499,298.1500000142081,5.0000016296262215,5.411385190992472
47,47.0,0.0,2.8095064636063145,298.15000001441604,5.000001665052822,5.4113851908081445
48,48.0,0.0,2.8095064616244048,298.1500000146234,5.0000017004794195,5.411385190623817
49,49.0,0.0,2.809506459642498,298.1500000148308,5.0000017359060225,5.411385190439501
50,50.0,0.0,2.8095064576563105,298.15000001503876,5.00000177133262,5.411385190255171
51,51.0,0.0,2.8095064556615714,298.1500000152477,5.000001806759222,5.411385190070845
52,52.0,0.0,2.8095064536539986,298.15000001545815,5.000001842185824,5.411385189886521
53,53.0,0.0,2.8095064516293187,298.15000001567074,5.0000018776124255,5.411385189702197
54,54.0,0.0,2.8095064495832522,298.15000001588595,5.0000019130390285,5.411385189517869
55,55.0,0.0,2.8095064475115223,298.1500000161042,5.000001948465634,5.411385189333545
56,56.0,0.0,2.8095064454098515,298.15000001632615,5.000001983892243,5.411385189149216
57,57.0,0.0,2.809506443273963,298.1500000165523,5.0000020193188535,5.411385188964895
58,58.0,0.0,2.8095064411049697,298.1500000167825,5.000002054745469,5.411385188780566
59,59.0,0.0,2.809506438949619,298.1500000170097,5.000002090172078,5.411385188596247
60,60.0,0.0,2.8095064368191474,298.1500000172326,5.000002125598683,5.411385188411922
61,61.0,0.0,2.8095064347128824,298.1500000174514,5.000002161025282,5.411385188227597
62,62.0,0.0,2.8095064326301524,298.15000001766606,5.000002196451881,5.411385188043274
63,63.0,0.0,2.8095064305702846,298.15000001787666,5.000002231878471,5.41138518785895
64,64.0,0.0,2.809506428532607,298.15000001808346,5.000002267305054,5.411385187674629
65,65.0,0.0,2.8095064265164447,298.1500000182866,5.000002302731638,5.4113851874903
66,66.0,0.0,2.809506424521129,298.1500000184861,5.000002338158216,5.411385187305977
67,67.0,0.0,2.809506422545985,298.15000001868196,5.00000237358479,5.411385187121656
68,68.0,0.0,2.8095064205903424,298.1500000188744,5.000002409011361,5.411385186937324
69,69.0,0.0,2.809506418653526,298.1500000190636,5.000002444437932,5.411385186753003
70,70.0,0.0,2.8095064167348647,298.1500000192497,5.000002479864492,5.411385186568678
71,71.0,0.0,2.809506414833687,298.15000001943275,5.000002515291054,5.411385186384356
72,72.0,0.0,2.809506412949319,298.15000001961283,5.000002550717609,5.411385186200034
73,73.0,0.0,2.8095064110810894,298.15000001979007,5.000002586144165,5.411385186015711
74,74.0,0.0,2.809506409228325,298.15000001996464,5.000002621570716,5.411385185831378
75,75.0,0.0,2.809506407390354,298.1500000201367,5.000002656997264,5.411385185647058
76,76.0,0.0,2.8095064055665033,298.1500000203062,5.000002692423809,5.411385185462731
77,77.0,0.0,2.8095064037561026,298.15000002047344,5.000002727850355,5.411385185278406
78,78.0,0.0,2.8095064019584752,298.15000002063834,5.000002763276891,5.411385185094087
79,79.0,0.0,2.8095064001729533,298.1500000208013,5.000002798703432,5.411385184909759
80,80.0,0.0,2.809506398398861,298.1500000209621,5.000002834129968,5.4113851847254395
81,81.0,0.0,2.8095063966355283,298.1500000211211,5.000002869556502,5.411385184541113
82,82.0,0.0,2.809506394882282,298.1500000212784,5.000002904983033,5.41138518435679
83,83.0,0.0,2.809506393138448,298.1500000214339,5.000002940409562,5.411385184172466
84,84.0,0.0,2.809506391403357,298.150000021588,5.000002975836092,5.411385183988143
85,85.0,0.0,2.809506389676335,298.1500000217407,5.00000301126262,5.411385183803815
86,86.0,0.0,2.8095063879567084,298.15000002189214,5.000003046689145,5.41138518361949
87,87.0,0.0,2.809506386243807,298.15000002204226,5.000003082115669,5.411385183435167
88,88.0,0.0,2.8095063845369563,298.1500000221914,5.000003117542193,5.411385183250841
89,89.0,0.0,2.809506382835486,298.1500000223397,5.000003152968715,5.411385183066515
90,90.0,0.0,2.8095063811387218,298.1500000224871,5.000003188395233,5.411385182882196
91,91.0,0.0,2.8095063794459922,298.15000002263383,5.0000032238217536,5.411385182697869
92,92.0,0.0,2.8095063777566254,298.1500000227798,5.000003259248275,5.411385182513544
93,93.0,0.0,2.809506376069948,298.15000002292555,5.000003294674795,5.411385182329219
94,94.0,0.0,2.809506374385287,298.15000002307085,5.000003330101312,5.411385182144894
95,95.0,0.0,2.8095063727019727,298.15000002321597,5.0000033655278315,5.411385181960572
96,96.0,0.0,2.8095063710193284,298.15000002336086,5.000003400954351,5.411385181776249
97,97.0,0.0,2.8095063693366855,298.1500000235058,5.000003436380866,5.411385181591923
98,98.0,0.0,2.8095063676533707,298.15000002365076,5.000003471807387,5.411385181407597
